Libcap;2.65;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-2.65.tar.xz;3543e753dd941255c4def6cc67a462bb
Libffi;3.4.2;https://github.com/libffi/libffi/releases/download/v3.4.2/libffi-3.4.2.tar.gz;294b921e6cf9ab0fbaea4b639f8fdbe8
Libpipeline;1.5.6;https://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.6.tar.gz;829c9ba46382b0b3e12dd11fcbc1bb27
Libtool;2.4.7;https://ftp.gnu.org/gnu/libtool/libtool-2.4.7.tar.xz;2fc0b6ddcd66a89ed6e45db28fa44232
Linux;5.19.2;https://www.kernel.org/pub/linux/kernel/v5.x/linux-5.19.2.tar.xz;391274e2e49a881403b0ff2e0712bf82
M4;1.4.19;https://ftp.gnu.org/gnu/m4/m4-1.4.19.tar.xz;0d90823e1426f1da2fd872df0311298d
Make;4.3;https://ftp.gnu.org/gnu/make/make-4.3.tar.gz;fc7a67ea86ace13195b0bce683fd4469
Man-DB;2.10.2;https://download.savannah.gnu.org/releases/man-db/man-db-2.10.2.tar.xz;e327f7af3786d15e5851658ae7ef47ed
Man-pages;5.13;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-5.13.tar.xz;3ac24e8c6fae26b801cb87ceb63c0a30
MarkupSafe;2.1.1;https://files.pythonhosted.org/packages/source/M/MarkupSafe/MarkupSafe-2.1.1.tar.gz;9809f9fdd98bc835b0c21aa8f79cbf30
Meson;0.63.1;https://github.com/mesonbuild/meson/releases/download/0.63.1/meson-0.63.1.tar.gz;078e59d11a72b74c3bd78cb8205e9ed7
MPC;1.2.1;https://ftp.gnu.org/gnu/mpc/mpc-1.2.1.tar.gz;9f16c976c25bb0f76b50be749cd7a3a8
MPFR;4.1.0;https://ftp.gnu.org/gnu/mpfr/mpfr-4.1.0.tar.xz;bdd3d5efba9c17da8d83a35ec552baef
Ncurses;6.3;https://invisible-mirror.net/archives/ncurses/ncurses-6.3.tar.gz;a2736befde5fee7d2b7eb45eb281cdbe
Ninja;1.11.0;https://github.com/ninja-build/ninja/archive/v1.11.0/ninja-1.11.0.tar.gz;7d1a1a2f5cdc06795b3054df5c17d5ef
OpenSSL;3.0.5;https://www.openssl.org/source/openssl-3.0.5.tar.gz;163bb3e58c143793d1dc6a6ec7d185d5
Patch;2.7.6;https://ftp.gnu.org/gnu/patch/patch-2.7.6.tar.xz;78ad9937e4caadcba1526ef1853730d5
Perl;5.36.0;https://www.cpan.org/src/5.0/perl-5.36.0.tar.xz;826e42da130011699172fd655e49cfa2
Pkg-config;0.29.2;https://pkg-config.freedesktop.org/releases/pkg-config-0.29.2.tar.gz;f6e931e319531b736fadc017f470e68a
Procps;4.0.0;https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-4.0.0.tar.xz;eedf93f2f6083afb7abf72188018e1e5
Psmisc;23.5;https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-23.5.tar.xz;014f0b5d5ab32478a2c57812ad01e1fb
Python;3.10.6;https://www.python.org/ftp/python/3.10.6/Python-3.10.6.tar.xz;afc7e14f7118d10d1ba95ae8e2134bf0
Python Documentation;3.10.6;https://www.python.org/ftp/python/doc/3.10.6/python-3.10.6-docs-html.tar.bz2;8f32c4f4f0b18ec56e8b3822bbaeb017
Readline;8.1.2;https://ftp.gnu.org/gnu/readline/readline-8.1.2.tar.gz;12819fa739a78a6172400f399ab34f81
Sed;4.8;https://ftp.gnu.org/gnu/sed/sed-4.8.tar.xz;6d906edfdb3202304059233f51f9a71d
Shadow;4.12.2;https://github.com/shadow-maint/shadow/releases/download/4.12.2/shadow-4.12.2.tar.xz;52637cb34c357acf85c617cf95da34a6
Systemd;251;https://github.com/systemd/systemd/archive/v251/systemd-251.tar.gz;8090fcccc3a2ec20995e89d56fed61b1
Systemd Man Page;251;https://anduin.linuxfromscratch.org/LFS/systemd-man-pages-251.tar.xz;87053ffef1cfb74e4fe28f627e12a2a4
Tar;1.34;https://ftp.gnu.org/gnu/tar/tar-1.34.tar.xz;9a08d29a9ac4727130b5708347c0f5cf
Tcl;8.6.12;https://downloads.sourceforge.net/tcl/tcl8.6.12-src.tar.gz;87ea890821d2221f2ab5157bc5eb885f
Tcl Documentation;8.6.12;https://downloads.sourceforge.net/tcl/tcl8.6.12-html.tar.gz;a0d1a5b60bbb68f2f0bd3066a19c527a
Texinfo;6.8;https://ftp.gnu.org/gnu/texinfo/texinfo-6.8.tar.xz;a91b404e30561a5df803e6eb3a53be71
Time Zone Data;2022c;https://www.iana.org/time-zones/repository/releases/tzdata2022c.tar.gz;4e3b2369b68e713ba5d3f7456f20bfdb
Util-linux;2.38.1;https://www.kernel.org/pub/linux/utils/util-linux/v2.38/util-linux-2.38.1.tar.xz;cd11456f4ddd31f7fbfdd9488c0c0d02
Vim;9.0.0228;https://anduin.linuxfromscratch.org/LFS/vim-9.0.0228.tar.gz;bc7e0a4829d94bb4c03a7a6b4ad6a8cf
